,HBA,HBD,HBA:HBD,T(K),Tc(K),Pc(bar),Fator Acentrico,Density(kg/m3),Calculado Model 1,Calculado Model 2,Calculado Model 3
16,Acetyl choline chloride,D-Fructose,1;1,338.15,844.6,25.637,1.3743,1237.0,1251.8837,1256.1274,1266.7883
176,Allyl triphenylphosphonium bromide,Triethylene glycol,1;16,298.15,765.16,26.734,1.0819,1142.5,1161.6204,1155.2942,1183.3186
249,Betaine,Lactic acid,1;2,333.15,668.5,44.088,0.7863,1176.9,1176.4263,1167.7634,1199.081
1237,Trimethylglicine,Phenylacetic acid,1;2,348.15,725.69,37.334,0.5804,1120.0,1168.5453,1145.3746,1148.0438
1008,"N,N diethylenethanol ammonium chloride",Glycerol,1;3,348.15,695.61,33.703,1.2865,1174.6000000000001,1184.4679,1170.8494,1186.1538
263,Betaine,Levulinic acid,1;2,293.15,701.24,38.938,0.6195,1161.8999999999999,1129.4336,1143.4872,1129.6055
59,Acetyl choline chloride,D-Xylose,1;1,293.15,782.87,27.631,1.2284,1257.0,1263.0299,1267.1329,1270.4495
321,benzyldimethyl(2-hydroxyethyl) ammonium chloride,D-Ribose,1;1,333.15,851.41,23.211,1.3978,1221.0,1232.7589,1226.4181,1232.2274
193,Benzyl tripropyl ammonium Chloride,Ethylene Glycol,1;3,328.15,644.1,33.781,0.9375,1042.1000000000001,1093.0775,1069.6649,1076.5294
306,benzyldimethyl(2-hydroxyethyl) ammonium chloride,D-Mannose,1;1,323.15,908.27,21.009,1.5684,1246.0,1240.5798,1236.5588,1237.5182
86,Acetyl choline chloride,Imidazole,1;1.5,323.15,646.03,40.667,0.4497,1115.3999999999999,1095.7848,1120.0375,1123.4518
492,Choline chloride,Ethylene glycol,1;2.03,303.15,601.93,41.105,0.9162,1114.6000000000001,1087.8615,1108.3021,1106.2181
954,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;3,353.15,606.72,42.693,0.9378,1067.5,1091.8295,1076.9307,1077.5731
